What is the capital of France?,Paris;London;Berlin;Madrid,Paris
Which planet is known as the Red Planet?,Mars;Venus;Jupiter;Saturn,Mars
Who painted the Mona Lisa?,Leonardo da Vinci;Vincent van Gogh;Pablo Picasso;Michelangelo,Leonardo da Vinci
What is the largest continent by land area?,Asia;Africa;North America;Europe,Asia
Which country is famous for the Great Wall?,China;India;Russia;Brazil,China
What is the currency of Japan?,Yen;Dollar;Euro;Pound,Yen
Which animal is the largest land mammal?,Elephant;Giraffe;Hippopotamus;Rhinoceros,Elephant
What is the chemical symbol for gold?,Au;Ag;Cu;Fe,Au
Who wrote the play "Romeo and Juliet"?,William Shakespeare;Tennessee Williams;Arthur Miller;Oscar Wilde,William Shakespeare
What is the capital of Australia?,Canberra;Sydney;Melbourne;Brisbane,Canberra
Which is the largest ocean in the world?,Pacific;Atlantic;Indian;Arctic,Pacific
What is the square root of 81?,9;7;10;8,9
Which famous scientist proposed the theory of relativity?,Albert Einstein;Isaac Newton;Galileo Galilei;Stephen Hawking,Albert Einstein
What is the main component of the Earth's atmosphere?,Nitrogen;Oxygen;Carbon Dioxide;Argon,Nitrogen
Which planet in our solar system is known for its rings?,Saturn;Uranus;Neptune;Jupiter,Saturn
Who was the first person to step on the moon?,Neil Armstrong;Buzz Aldrin;Yuri Gagarin;Alan Shepard,Neil Armstrong
What is the boiling point of water in degrees Celsius?,100;0;50;200,100
Which bird is often associated with delivering mail in Harry Potter?,Owl;Eagle;Falcon;Raven,Owl
What is the largest desert in the world?,Antarctica;Sahara;Gobi;Kalahari,Antarctica
Which famous artist cut off a part of his own ear?,Vincent van Gogh;Pablo Picasso;Claude Monet;Salvador Dali,Vincent van Gogh